Date,Sample_ID,Sample_type,Mesocosm,Stage,Treatment,NPP,GPP,CR,Chl_a,Chl_b,Chl_c
5/10/2020,T1L,Tile,T1,Establishment,High,,3.886,,0.947,-0.069,0.212
5/10/2020,T1R,Tile,T1,Establishment,High,,4.167,,0.578,0.126,0.01
5/10/2020,T2L,Tile,T2,Establishment,Low,,7.892,,1.474,0.373,0.274
5/10/2020,T2R,Tile,T2,Establishment,Low,,9.721,,1.359,0.405,0.049
5/10/2020,T3L,Tile,T3,Establishment,Control,,0.64,,0.32,0.195,-0.039
5/10/2020,T3R,Tile,T3,Establishment,Control,,-0.351,,0.126,0.058,-0.062
5/10/2020,T4L,Tile,T4,Establishment,High,,10.496,,1.152,0.275,0.133
5/10/2020,T4R,Tile,T4,Establishment,High,,3.229,,0.991,0.131,0.198
5/10/2020,T5L,Tile,T5,Establishment,Low,,0.436,,1.847,0.382,0.234
5/10/2020,T5R,Tile,T5,Establishment,Low,,1.574,,3.401,0.619,0.322
5/10/2020,T6L,Tile,T6,Establishment,Control,,-1.282,,0.205,0.285,0.06
5/10/2020,T6R,Tile,T6,Establishment,Control,,-1.074,,0.522,0.198,0.128
5/10/2020,T7L,Tile,T7,Establishment,Low,,6.391,,0.652,0.347,0.059
5/10/2020,T7R,Tile,T7,Establishment,Low,,5.204,,0.971,0.318,-0.058
5/10/2020,T8L,Tile,T8,Establishment,Control,,-1.422,,0.73,0.192,0.175
5/10/2020,T8R,Tile,T8,Establishment,Control,,-0.115,,0.688,0.174,0.128
5/10/2020,T9L,Tile,T9,Establishment,High,,11.016,,0.151,0.21,0.044
5/10/2020,T9R,Tile,T9,Establishment,High,,13.105,,1.35,0.523,0.23
5/10/2020,T10L,Tile,T10,Establishment,Control,,-4.637,,0.467,0.187,0.028
5/10/2020,T10R,Tile,T10,Establishment,Control,,0.699,,0.457,0.424,0.301
5/10/2020,T11L,Tile,T11,Establishment,Low,,-4.386,,0.919,0.489,0.083
5/10/2020,T11R,Tile,T11,Establishment,Low,,-12.512,,0.529,0.448,0.243
5/10/2020,T12L,Tile,T12,Establishment,High,,16.822,,0.801,0.392,0.167
5/10/2020,T12R,Tile,T12,Establishment,High,,28.712,,0.684,0.364,0.062
5/10/2020,T1W,Water column,T1,Establishment,High,,0.262,,0.034,0.005,0
5/10/2020,T2W,Water column,T2,Establishment,Low,,0.254,,0.034,0.005,0
5/10/2020,T3W,Water column,T3,Establishment,Control,,0.233,,0,0.005,0.002
5/10/2020,T4W,Water column,T4,Establishment,High,,0.262,,0,0.009,0
5/10/2020,T5W,Water column,T5,Establishment,Low,,0.292,,0,0.024,0.019
5/10/2020,T6W,Water column,T6,Establishment,Control,,0.327,,0,0.019,0
5/10/2020,T7W,Water column,T7,Establishment,Low,,0.181,,0,0.011,0.003
5/10/2020,T8W,Water column,T8,Establishment,Control,,0.258,,0.021,0.029,0.006
5/10/2020,T9W,Water column,T9,Establishment,High,,0.139,,0,0.026,0
5/10/2020,T10W,Water column,T10,Establishment,Control,,0.193,,0,0.016,0.005
5/10/2020,T11W,Water column,T11,Establishment,Low,,0.374,,0,0.016,0.005
5/10/2020,T12W,Water column,T12,Establishment,High,,0.039,,0,0.022,0.007
15/10/2020,T1L,Tile,T1,Establishment,High,,2.793,,3.002,0.262,0.33
15/10/2020,T1R,Tile,T1,Establishment,High,,5.123,,3.647,0.397,0.167
15/10/2020,T2L,Tile,T2,Establishment,Low,,4.842,,3.819,0.598,0.289
15/10/2020,T2R,Tile,T2,Establishment,Low,,11.03,,5.642,0.829,0.503
15/10/2020,T3L,Tile,T3,Establishment,Control,,46.231,,6.389,1.779,0.65
15/10/2020,T3R,Tile,T3,Establishment,Control,,20.81,,3.844,0.947,0.292
15/10/2020,T4L,Tile,T4,Establishment,High,,0.86,,3.147,0.461,0.214
15/10/2020,T4R,Tile,T4,Establishment,High,,-7.49,,5.242,0.954,0.497
15/10/2020,T5L,Tile,T5,Establishment,Low,,15.123,,3.949,0.863,0.428
15/10/2020,T5R,Tile,T5,Establishment,Low,,16.62,,4.363,0.905,0.178
15/10/2020,T6L,Tile,T6,Establishment,Control,,8.282,,2.473,0.716,0.291
15/10/2020,T6R,Tile,T6,Establishment,Control,,7.949,,2.423,0.653,0.071
15/10/2020,T7L,Tile,T7,Establishment,Low,,34.918,,2.643,0.698,0.216
15/10/2020,T7R,Tile,T7,Establishment,Low,,17.059,,2.316,0.564,0.328
15/10/2020,T8L,Tile,T8,Establishment,Control,,-0.329,,3.408,0.704,0.432
15/10/2020,T8R,Tile,T8,Establishment,Control,,-7.244,,2.922,0.465,0.418
15/10/2020,T9L,Tile,T9,Establishment,High,,37.466,,2.287,0.7,0.321
15/10/2020,T9R,Tile,T9,Establishment,High,,26.098,,2.461,0.713,0.289
15/10/2020,T10L,Tile,T10,Establishment,Control,,5.95,,2.062,0.589,0.161
15/10/2020,T10R,Tile,T10,Establishment,Control,,-2.468,,2.127,0.734,0.227
15/10/2020,T11L,Tile,T11,Establishment,Low,,9.285,,2.816,0.929,0.236
15/10/2020,T11R,Tile,T11,Establishment,Low,,4.114,,2.401,0.58,0.316
15/10/2020,T12L,Tile,T12,Establishment,High,,10.524,,3.483,0.83,0.403
15/10/2020,T12R,Tile,T12,Establishment,High,,26.097,,3.469,0.9,0.428
15/10/2020,T1W,Water column,T1,Establishment,High,,0.034,,0.216,0.012,0.021
15/10/2020,T2W,Water column,T2,Establishment,Low,,0.053,,0.18,0.029,0.026
15/10/2020,T3W,Water column,T3,Establishment,Control,,-0.093,,0.034,0.005,0
15/10/2020,T4W,Water column,T4,Establishment,High,,0.243,,0.26,0.027,0.048
15/10/2020,T5W,Water column,T5,Establishment,Low,,0.068,,0.032,0.023,0.004
15/10/2020,T6W,Water column,T6,Establishment,Control,,0.21,,0,0.021,0
15/10/2020,T7W,Water column,T7,Establishment,Low,,0.031,,0.009,0.034,0.008
15/10/2020,T8W,Water column,T8,Establishment,Control,,0.387,,0.214,0.031,0.038
