Fish,Stage,Group,Mesocosm,Treatment,Length,Weight
Fish_01,Pre-treatment,G1,T4,High,28.5,0.208
Fish_02,Pre-treatment,G1,T4,High,24.43,0.14
Fish_03,Pre-treatment,G1,T4,High,18.87,0.149
Fish_04,Pre-treatment,G1,T4,High,23.07,0.127
Fish_05,Pre-treatment,G1,T4,High,18.06,0.123
Fish_06,Pre-treatment,G2,T2,Low,22.07,0.144
Fish_07,Pre-treatment,G2,T2,Low,25.96,0.133
Fish_08,Pre-treatment,G2,T2,Low,25.08,0.199
Fish_09,Pre-treatment,G2,T2,Low,25.66,0.241
Fish_10,Pre-treatment,G2,T2,Low,23.66,0.146
Fish_11,Pre-treatment,G3,T1,High,24.77,0.113
Fish_12,Pre-treatment,G3,T1,High,21.98,0.116
Fish_13,Pre-treatment,G3,T1,High,23.25,0.137
Fish_14,Pre-treatment,G3,T1,High,24.09,0.189
Fish_15,Pre-treatment,G3,T1,High,22.79,0.146
Fish_16,Pre-treatment,G4,T8,Control,24.76,0.161
Fish_17,Pre-treatment,G4,T8,Control,21.58,0.135
Fish_18,Pre-treatment,G4,T8,Control,29.07,0.209
Fish_19,Pre-treatment,G4,T8,Control,25.29,0.144
Fish_20,Pre-treatment,G4,T8,Control,21.42,0.167
Fish_21,Pre-treatment,G5,T6,Control,22.04,0.131
Fish_22,Pre-treatment,G5,T6,Control,25.08,0.161
Fish_23,Pre-treatment,G5,T6,Control,22.48,0.113
Fish_24,Pre-treatment,G5,T6,Control,25.58,0.148
Fish_25,Pre-treatment,G5,T6,Control,27.03,0.15
Fish_26,Pre-treatment,G6,T9,High,28.15,0.153
Fish_27,Pre-treatment,G6,T9,High,29.57,0.174
Fish_28,Pre-treatment,G6,T9,High,25.92,0.116
Fish_29,Pre-treatment,G6,T9,High,26.32,0.129
Fish_30,Pre-treatment,G6,T9,High,28.52,0.172
Fish_31,Pre-treatment,G7,T12,High,29.48,0.166
Fish_32,Pre-treatment,G7,T12,High,25.58,0.12
Fish_33,Pre-treatment,G7,T12,High,25.21,0.133
Fish_34,Pre-treatment,G7,T12,High,25.67,0.115
Fish_35,Pre-treatment,G7,T12,High,27.13,0.143
Fish_36,Pre-treatment,G8,T3,Control,31.3,0.142
Fish_37,Pre-treatment,G8,T3,Control,26.77,0.131
Fish_38,Pre-treatment,G8,T3,Control,25.66,0.108
Fish_39,Pre-treatment,G8,T3,Control,30.01,0.167
Fish_40,Pre-treatment,G8,T3,Control,32.26,0.166
Fish_41,Pre-treatment,G9,T11,Low,33.04,0.204
Fish_42,Pre-treatment,G9,T11,Low,28.06,0.16
Fish_43,Pre-treatment,G9,T11,Low,20.09,0.096
Fish_44,Pre-treatment,G9,T11,Low,26.19,0.116
Fish_45,Pre-treatment,G9,T11,Low,25.4,0.118
Fish_46,Pre-treatment,G10,T7,Low,31.92,0.147
Fish_47,Pre-treatment,G10,T7,Low,34.41,0.222
Fish_48,Pre-treatment,G10,T7,Low,33.92,0.197
Fish_49,Pre-treatment,G10,T7,Low,32.66,0.182
Fish_50,Pre-treatment,G10,T7,Low,25.41,0.139
Fish_51,Pre-treatment,G11,T5,Low,29.66,0.145
Fish_52,Pre-treatment,G11,T5,Low,29.47,0.135
Fish_53,Pre-treatment,G11,T5,Low,24.25,0.101
Fish_54,Pre-treatment,G11,T5,Low,30.61,0.175
Fish_55,Pre-treatment,G11,T5,Low,24.92,0.133
Fish_56,Pre-treatment,G12,T10,Control,29.39,0.167
Fish_57,Pre-treatment,G12,T10,Control,20.08,0.09
Fish_58,Pre-treatment,G12,T10,Control,27.18,0.149
Fish_59,Pre-treatment,G12,T10,Control,30.01,0.156
Fish_60,Pre-treatment,G12,T10,Control,29.33,0.158
Fish_61,Pre-treatment,G3,T1,,,0.201
Fish_62,Pre-treatment,G8,T3,,,0.14
Fish_63,Pre-treatment,G10,T7,,,0.089
Fish_64,Pre-treatment,G9,T11,,,0.146
Fish_65,Pre-treatment,G3,T1,,,0.146
Fish_06,Post-treatment,G2,T2,Low,28.41,0.256
Fish_07,Post-treatment,G2,T2,Low,25.81,0.174
Fish_08,Post-treatment,G2,T2,Low,28.81,0.192
Fish_09,Post-treatment,G2,T2,Low,26.76,0.187
Fish_10,Post-treatment,G2,T2,Low,25.28,0.151
Fish_11,Post-treatment,G3,T1,High,24.13,0.146
Fish_12,Post-treatment,G3,T1,High,29.34,0.204
Fish_13,Post-treatment,G3,T1,High,25.65,0.195
Fish_14,Post-treatment,G3,T1,High,22.56,0.148
Fish_15,Post-treatment,G3,T1,High,20.68,0.147
Fish_36,Post-treatment,G8,T3,Control,32.23,0.166
Fish_37,Post-treatment,G8,T3,Control,27.94,0.154
Fish_38,Post-treatment,G8,T3,Control,32.3,0.209
Fish_39,Post-treatment,G8,T3,Control,30.29,0.168
Fish_40,Post-treatment,G8,T3,Control,22.16,0.124
Fish_01,Post-treatment,G1,T4,High,28.88,0.157
Fish_02,Post-treatment,G1,T4,High,33.57,0.215
Fish_03,Post-treatment,G1,T4,High,31.3,0.181
Fish_04,Post-treatment,G1,T4,High,27.8,0.18
Fish_05,Post-treatment,G1,T4,High,26.76,0.167
Fish_21,Post-treatment,G5,T6,Control,24.26,0.167
Fish_22,Post-treatment,G5,T6,Control,30.49,0.219
Fish_23,Post-treatment,G5,T6,Control,29,0.165
Fish_24,Post-treatment,G5,T6,Control,24.6,0.163
Fish_25,Post-treatment,G5,T6,Control,27.9,0.19
Fish_51,Post-treatment,G11,T5,Low,32.19,0.179
Fish_52,Post-treatment,G11,T5,Low,32.7,0.197
Fish_53,Post-treatment,G11,T5,Low,29.76,0.138
Fish_54,Post-treatment,G11,T5,Low,31.45,0.184
Fish_55,Post-treatment,G11,T5,Low,31.01,0.175
Fish_26,Post-treatment,G6,T9,High,28.98,0.159
Fish_27,Post-treatment,G6,T9,High,31.24,0.187
Fish_28,Post-treatment,G6,T9,High,33.43,0.216
Fish_29,Post-treatment,G6,T9,High,31.38,0.202
Fish_30,Post-treatment,G6,T9,High,31.06,0.192
Fish_16,Post-treatment,G4,T8,Control,32.89,0.243
Fish_17,Post-treatment,G4,T8,Control,26.95,0.161
Fish_18,Post-treatment,G4,T8,Control,24.3,0.146
Fish_19,Post-treatment,G4,T8,Control,27.82,0.182
Fish_20,Post-treatment,G4,T8,Control,28.06,0.2
Fish_46,Post-treatment,G10,T7,Low,33.31,0.229
Fish_47,Post-treatment,G10,T7,Low,34.74,0.238
Fish_48,Post-treatment,G10,T7,Low,30.92,0.189
Fish_49,Post-treatment,G10,T7,Low,32.62,0.206
Fish_50,Post-treatment,G10,T7,Low,27.58,0.129
Fish_31,Post-treatment,G7,T12,High,32.74,0.182
Fish_32,Post-treatment,G7,T12,High,33.13,0.199
Fish_33,Post-treatment,G7,T12,High,36.44,0.201
Fish_34,Post-treatment,G7,T12,High,26.7,0.177
Fish_35,Post-treatment,G7,T12,High,25.93,0.14
Fish_41,Post-treatment,G9,T11,Low,22.58,0.133
Fish_42,Post-treatment,G9,T11,Low,31.21,0.255
Fish_43,Post-treatment,G9,T11,Low,26.08,0.145
Fish_44,Post-treatment,G9,T11,Low,26.65,0.148
Fish_45,Post-treatment,G9,T11,Low,24.84,0.134
Fish_56,Post-treatment,G12,T10,Control,29,0.194
Fish_57,Post-treatment,G12,T10,Control,28.08,0.165
Fish_58,Post-treatment,G12,T10,Control,26.67,0.194
Fish_59,Post-treatment,G12,T10,Control,24.17,0.132
Fish_60,Post-treatment,G12,T10,Control,28.96,0.177

