Lab_ref,Sample_no,Date,NH3_mgL,FRP_mgL,Nox_mgL,Notes
20/1635,Blank,25/09/2020,<0.001,<0.001,<0.001,
20/1636,T-1,25/09/2020,0.001,0.002,<0.001,
20/1637,T-2,25/09/2020,0.001,0.003,<0.001,
20/1638,T-3,25/09/2020,0.001,0.002,<0.001,
20/1639,T-4,25/09/2020,0.001,0.003,<0.001,
20/1640,T-5,25/09/2020,0.002,0.002,0.002,
20/1641,T-6,25/09/2020,0.001,0.002,0.003,
20/1642,T-7,25/09/2020,0.001,0.002,<0.001,
20/1643,T-8,25/09/2020,0.001,0.002,<0.001,
20/1644,T-9,25/09/2020,<0.001,0.002,0.022,
20/1645,T-10,25/09/2020,<0.001,0.002,0.007,
20/1646,T-11,25/09/2020,0.001,0.002,0.003,
20/1647,T-12,25/09/2020,0.001,0.002,0.018,
20/1648,JMR,25/09/2020,0.004,0.004,<0.001,
20/1649,Blank,2/10/2020,<0.001,<0.001,<0.001,
20/1650,T-1,2/10/2020,<0.001,0.002,<0.001,
20/1651,T-2,2/10/2020,0.004,0.005,0.001,
20/1652,T-3,2/10/2020,0.001,0.002,<0.001,
20/1653,T-4,2/10/2020,<0.001,0.002,<0.001,
20/1654,T-5,2/10/2020,0.003,0.002,<0.001,
20/1655,T-6,2/10/2020,0.002,0.002,<0.001,
20/1656,T-7,2/10/2020,0.002,0.001,<0.001,
20/1657,T-8,2/10/2020,<0.001,0.002,<0.001,
20/1658,T-9,2/10/2020,<0.001,0.002,<0.001,
20/1659,T-10,2/10/2020,<0.001,0.002,<0.001,
20/1660,T-11,2/10/2020,0.002,0.002,<0.001,
20/1661,T-12,2/10/2020,<0.001,0.002,<0.001,
20/1662,JMR,2/10/2020,0.004,0.005,<0.001,
20/1812,Blank,15/10/2020,<0.001,<0.001,<0.001,
20/1813,T-1,15/10/2020,0.003,0.009,1.1,Mesocosms dosed with nutrients on 13 Oct
20/1814,T-2,15/10/2020,0.009,0.028,1.2,
20/1815,T-3,15/10/2020,0.004,0.036,1.1,
20/1816,T-4,15/10/2020,0.005,0.015,0.98,
20/1817,T-5,15/10/2020,0.009,0.036,1.1,
20/1818,T-6,15/10/2020,0.007,0.022,1,
20/1819,T-7,15/10/2020,0.004,0.038,1.1,
20/1820,T-8,15/10/2020,0.005,0.023,1,
20/1821,T-9,15/10/2020,0.006,0.038,1,
20/1822,T-10,15/10/2020,0.004,0.041,1.1,
20/1823,T-11,15/10/2020,0.005,0.03,1.1,
20/1824,T-12,15/10/2020,0.004,0.041,1.1,
20/1957,Blank,26/10/2020,0.005,0.002,<0.001,
20/1958,T-1,26/10/2020,0.008,0.004,<0.001,
20/1959,T-2,26/10/2020,0.009,0.004,<0.001,
20/1960,T-3,26/10/2020,0.009,0.002,<0.001,
20/1961,T-4,26/10/2020,0.007,0.003,<0.001,
20/1962,T-5,26/10/2020,0.008,0.003,<0.001,
20/1963,T-6,26/10/2020,0.009,0.003,<0.001,
20/1964,T-7,26/10/2020,0.009,0.003,<0.001,
20/1965,T-8,26/10/2020,0.007,0.004,<0.001,
20/1966,T-9,26/10/2020,0.008,0.003,<0.001,
20/1967,T-10,26/10/2020,0.008,0.003,<0.001,
20/1968,T-11,26/10/2020,0.008,0.003,<0.001,
20/1969,T-12,26/10/2020,0.007,0.004,<0.001,
20/2152,Blank,5/11/2020,<0.001,<0.001,<0.001,
20/2153,T-1,5/11/2020,0.007,0.002,<0.001,
20/2154,T-2,5/11/2020,0.007,0.003,<0.001,
20/2155,T-3,5/11/2020,0.008,0.002,<0.001,
20/2156,T-4,5/11/2020,0.007,0.002,<0.001,
20/2157,T-5,5/11/2020,0.008,0.002,<0.001,
20/2158,T-6,5/11/2020,0.007,0.003,<0.001,
20/2159,T-7,5/11/2020,0.004,0.002,<0.001,
20/2160,T-8,5/11/2020,0.005,0.002,<0.001,
20/2161,T-9,5/11/2020,0.006,0.002,<0.001,
20/2162,T-10,5/11/2020,0.005,0.003,<0.001,
20/2163,T-11,5/11/2020,0.005,0.001,<0.001,
20/2164,T-12,5/11/2020,0.004,0.003,<0.001,
20/2166,T-1,16/11/2020,<0.001,<0.001,<0.001,
20/2167,T-2,16/11/2020,0.008,0.002,<0.001,
20/2168,T-3,16/11/2020,0.008,0.002,<0.001,
20/2169,T-4,16/11/2020,0.006,0.002,<0.001,
20/2170,T-5,16/11/2020,0.1,0.002,<0.001,
20/2171,T-6,16/11/2020,0.12,0.002,<0.001,
20/2172,T-7,16/11/2020,0.034,0.001,<0.001,
20/2173,T-8,16/11/2020,0.044,0.002,<0.001,
20/2174,T-9,16/11/2020,0.025,0.002,<0.001,
20/2175,T-10,16/11/2020,0.007,0.002,<0.001,
20/2176,T-11,16/11/2020,0.02,0.002,<0.001,
20/2177,T-12,16/11/2020,0.01,0.002,<0.001,
20/2442,Blank,7/12/2020,<0.001,<0.001,<0.001,
20/2443,T-1,7/12/2020,0.004,0.002,<0.001,
20/2444,T-2,7/12/2020,0.003,0.002,<0.001,
20/2445,T-3,7/12/2020,0.005,0.002,<0.001,
20/2446,T-4,7/12/2020,0.004,0.002,<0.001,
20/2447,T-5,7/12/2020,0.003,0.002,<0.001,
20/2448,T-6,7/12/2020,0.004,0.002,<0.001,
20/2449,T-7,7/12/2020,0.003,0.002,<0.001,
20/2450,T-8,7/12/2020,0.005,0.002,<0.001,
20/2451,T-9,7/12/2020,0.002,0.002,<0.001,
20/2452,T-10,7/12/2020,0.004,0.003,<0.001,
20/2453,T-11,7/12/2020,0.006,0.002,<0.001,
