Date,Mesocosm,Stage,Hyrdidae,Nematode,Oligochaeta,Copepoda_naupli,Calanoida_Copepodite,Calanoida_CalamoeciaLucasi,Calanoida_BoeckellaTriarticulata,Cyclopoida_Copepodite,Cyclopoida_Australocyclops,Cyclopoida_Mesocyclops,Cyclopoida_Tropocyclops,Cladocera_Chydorus,Cladocera_Daphiidae,Cladocera_Ilyocryptidae,Ostracoda,Gastropoda,Collembolla_Sminthuridae,Hemiptera_Corixidae,Hemiptera_Notonectidae,Coleoptera,Diptera_Chironomidae,Arachinida_Acarina
5/10/20,T1,Establishment,,,,10,,,,,,,,,,,,,,,,,,
5/10/20,T2,Establishment,,,,10,1,,,2,,,,,,,,,,,,,,
5/10/20,T3,Establishment,,,,20,,,,2,,,,,,,,,1,1,,,,
5/10/20,T4,Establishment,,,,10,,,,,,,,,,,2,,,,,,,
5/10/20,T5,Establishment,,,,50,,,,3,,,,,,,1,,,,,,,
5/10/20,T6,Establishment,,,,10,,,,,,,,,,,1,,,,,,,
5/10/20,T7,Establishment,,,,10,,,,,,,,,,,,,,,,,,
5/10/20,T8,Establishment,,,,10,,,,2,,,,,,,,,,,,,,
5/10/20,T9,Establishment,,,,10,,,,1,,,,,,,,,,,,,,
5/10/20,T10,Establishment,,,,10,1,,,,,,,,,,,,,,,,,
5/10/20,T11,Establishment,,,,40,1,,,1,,,,,,,3,,,,,,,
5/10/20,T12,Establishment,,,,10,,,,1,,,,,,,,,,,,,,
15/10/20,T1,Establishment,,,,90,,,,,,,,,,,,,,,,,,
15/10/20,T2,Establishment,,,,130,4,,1,6,,1,,,,,3,,,,,,,
15/10/20,T3,Establishment,,,,220,3,,,10,,1,,,1,,,,,,,,,
15/10/20,T4,Establishment,,,,150,3,,,1,,3,,,,,1,,,,,1,,
15/10/20,T5,Establishment,,,,180,4,,1,16,1,,,,,,1,,,,,,,
15/10/20,T6,Establishment,,,,130,3,,,7,,,,,,,1,,,,,,1,
15/10/20,T7,Establishment,,,,110,2,,1,1,,,,,,,1,,,,,,,1
15/10/20,T8,Establishment,,,,110,2,,,2,,,,,,,2,,,,,,,
15/10/20,T9,Establishment,,,,70,2,,,4,,,,,,,10,,1,,,,,
15/10/20,T10,Establishment,,,,100,2,1,1,2,,,,,,,7,,,,1,,,
15/10/20,T11,Establishment,,,,210,8,4,5,5,,1,,,,,3,,,,,,,
15/10/20,T12,Establishment,,,,130,7,,1,8,,2,,,,,,,,,,,,
26/10/20,T1,Fish only,,,,70,,,,5,,,,,,,1,,,,,,,
26/10/20,T2,Fish only,,,,90,,,,3,,1,,,,,2,,,,,,,
26/10/20,T3,Fish only,,,,50,,3,,4,,1,,,,,1,,1,,,,,
26/10/20,T4,Fish only,,,,20,,2,1,4,,,,,,,,,,,,,,
26/10/20,T5,Fish only,,,,40,1,,,1,,,,,,,1,,1,,,,,
26/10/20,T6,Fish only,,,,110,,,,3,,,,,,,2,,,,,,,
26/10/20,T7,Fish only,,,,50,,,,,,,,,,,,,,,,,,
26/10/20,T8,Fish only,,,,20,,,,,,,,,,,,,,,,,,
26/10/20,T9,Fish only,,,,20,,,,,,,,,,,,,,,,,,
26/10/20,T10,Fish only,,,,50,,,,1,,,,,,,,,,,,,,
26/10/20,T11,Fish only,,,,90,,1,,1,,,,,,,,,,,,,,
26/10/20,T12,Fish only,,,,50,1,,,1,,,,,,,,,,,,,,
