Date ,Time,Time_of_day,Weather,Week,Sample,Mesoccosm,Stage,Probe,Temp,pH,Turb,DO_mgL,DO_perc
25/09/2020,11:19,Morning,Overcast,1,1,T1,Establishment,Horiba,11.32,7.14,0,NA,NA
25/09/2020,11:19,Morning,Overcast,1,1,T2,Establishment,Horiba,11.17,7.31,0,NA,NA
25/09/2020,11:19,Morning,Overcast,1,1,T3,Establishment,Horiba,10.88,7.14,0,NA,NA
25/09/2020,11:19,Morning,Overcast,1,1,T4,Establishment,Horiba,10.91,7.48,0,NA,NA
25/09/2020,11:19,Morning,Overcast,1,1,T5,Establishment,Horiba,10.94,7.54,0,NA,NA
25/09/2020,11:19,Morning,Overcast,1,1,T6,Establishment,Horiba,10.99,7.33,0,NA,NA
25/09/2020,11:19,Morning,Overcast,1,1,T7,Establishment,Horiba,11.18,7.42,0,NA,NA
25/09/2020,11:19,Morning,Overcast,1,1,T8,Establishment,Horiba,11.24,7.44,0,NA,NA
25/09/2020,11:19,Morning,Overcast,1,1,T9,Establishment,Horiba,11.27,7.58,0,NA,NA
25/09/2020,11:19,Morning,Overcast,1,1,T10,Establishment,Horiba,11.22,7.69,0,NA,NA
25/09/2020,11:19,Morning,Overcast,1,1,T11,Establishment,Horiba,11.08,7.6,0,NA,NA
25/09/2020,11:19,Morning,Overcast,1,1,T12,Establishment,Horiba,10.92,7.68,0,NA,NA
1/10/2020,18:00,Sunset,Fine,2,1,T1,Establishment,Hach,,,,9.17,95.5
1/10/2020,18:00,Sunset,Fine,2,2,T1,Establishment,Hach,,,,8.96,92.3
2/10/2020,6:00,Sunrise,Fine,2,1,T1,Establishment,Hach,,,,8.61,84.5
2/10/2020,6:00,Sunrise,Fine,2,2,T1,Establishment,Hach,,,,8.57,82.8
2/10/2020,10:31,Morning,Sunny/windy,2,1,T1,Establishment,Horiba,14.98,7.61,0,11.47,118
2/10/2020,10:31,Morning,Sunny/windy,2,2,T1,Establishment,Horiba,14.81,7.79,0,,
2/10/2020,10:31,Morning,Sunny/windy,2,3,T1,Establishment,Horiba,15.32,7.74,0,,
1/10/2020,18:00,Sunset,Fine,2,1,T2,Establishment,Hach,,,,8.71,90
1/10/2020,18:00,Sunset,Fine,2,1,T2,Establishment,Hach,,,,8.68,89.6
2/10/2020,6:00,Sunrise,Fine,2,1,T2,Establishment,Hach,,,,8.26,80.4
2/10/2020,6:00,Sunrise,Fine,2,2,T2,Establishment,Hach,,,,8.28,80.1
2/10/2020,10:31,Morning,Sunny/windy,2,1,T2,Establishment,Horiba,15.32,7.7,0,13.14,135.6
2/10/2020,10:31,Morning,Sunny/windy,2,2,T2,Establishment,Horiba,15.31,7.95,18.7,,
2/10/2020,10:31,Morning,Sunny/windy,2,3,T2,Establishment,Horiba,15.31,7.89,6.3,,
1/10/2020,18:00,Sunset,Fine,2,1,T3,Establishment,Hach,,,,9.24,96.7
